дом house
кошка cat
стол table
окно window
солнце sun
рука hand
глаз eye
вода water
дерево tree
книга book
яблоко apple
машина car
телефон phone
цветок flower
звезда star
трава grass
нос nose
голова head
нога leg
город city
песок sand
птица bird
музыка music
зима winter
лето summer
снег snow
гора mountain
рыба fish
фото photo
часы watch
слово word
ночь night
день day
собака dog
река river
язык language
красный red
синий blue
желтый yellow
зеленый green
человек man
женщина woman
ребенок child
школа school
учитель teacher
студент student
работа work
игра game
компьютер computer
волос hair
ухо ear
пальто coat
планета planet
зеркало mirror
кресло chair
кот cat
ворота gate
птичка bird
песня song
карта map
платье dress
кольцо ring
ноутбук laptop
чашка cup
человек man
женщина woman
ребенок child
школа school
учитель teacher
студент student
работа work
игра game
компьютер computer
волос hair
ухо ear
пальто coat
планета planet
зеркало mirror
кресло chair
кот cat
ворота gate
птичка bird
песня song
карта map
платье dress
кольцо ring
ноутбук laptop
чашка cup
космос space
медведь bear
робот robot
свитер sweater
радуга rainbow
замок castle
банан banana
завтрак breakfast
праздник holiday
печь oven
птицелов scarecrow
гитара guitar
фотоаппарат camera
ночник nightlight
поезд train
автобус bus
газета newspaper
пальто overcoat
магазин shop
комната room
завод factory
календарь calendar
конфета candy
танец dance
картинка picture
робот robot
дождь rain
молоко milk
пиво beer
чемпионат championship
кресло armchair
тетрадь notebook
рюкзак backpack
компас compass
пивная beerhouse
герой hero
свиток scroll
лампа lamp
золото gold
дракон dragon
август august
сентябрь september
октябрь october
ноябрь november
декабрь december
каникулы vacation
экран screen
рубашка shirt
чемодан suitcase
принтер printer
стекло glass
смайлик smiley
шутка joke
танцор dancer
гитарист guitarist
мышь mouse
заяц hare
сова owl
роза rose
поросенок piglet
гриб mushroom
реклама advertisement
зоопарк zoo
скейтборд skateboard
ящик box
галактика galaxy
религия religion
архитектура architecture
кафе cafe
печенье cookie
помидор tomato
колесо wheel
небо sky
подушка pillow
сапог boot
цвет color
страница page
чемпион champion
коробка box
снеговик snowman
мышление thinking
магия magic
цветочный flower
часовой watchman
пара couple
глобус globe
дверь door
океан ocean
гриль grill
принцесса princess
коктейль cocktail
стадион stadium
гербарий herbarium
ракета rocket
танк tank
гном gnome
дракон dragon
замороженный frozen
жалюзи blinds
белье lingerie
градус degree
трюк trick
пастель pastel
губка sponge
жемчуг pearl
ферма farm
папоротник fern
коридор corridor
марс mars
санки sled
песочница sandbox
собрание assembly
профессор professor
живопись painting
шахматы chess
маникюр manicure
леденец lollipop
пижама pajama
акула shark
тропик tropical
фонтан fountain
кресло recliner
резина rubber
костюм costume
рыцарь knight
облако cloud
завтрак breakfast
депозит deposit
косметика cosmetics
космонавт cosmonaut
автограф autograph
зонт umbrella
стакан glass
забор fence
блокнот notepad
отель hotel
зеркало mirror
лимон lemon
клиент client
невеста bride
улитка snail
котенок kitten
река river
волшебник wizard
крокодил crocodile
паровоз locomotive
медицина medicine
продавец seller
флаг flag
камера camera
черепаха turtle
петух rooster
рисунок drawing
самолет airplane
комета comet
трюк trick
спутник satellite
берег shore
флейта flute
маяк lighthouse
секрет secret
робот robot
песок sand
модель model
коммуникация communication
класс class
монитор monitor
персона person
объект object
бизнес business
финансы finances
мечта dream
футбол football
гитара guitar
интернет internet
сердце heart
парень guy
вечерина party
ресторан restaurant
библиотека library
поэзия poetry
искусство art
культура culture
география geography
физика physics
химия chemistry
математика mathematics
литература literature
революция revolution
завод factory
мастерская workshop
исследование research
изобретение invention
композиция composition
экология ecology
фотография photography
поэзия poetry
кино cinema
телевизор television
концерт concert
эксперимент experiment
автомобиль car
велосипед bicycle
картина painting
технология technology
робототехника robotics
геология geology
футуризм futurism
лекция lecture
инженерия engineering
политика politics
психология psychology
генетика genetics
философия philosophy
религия religion
экономика economy
энергия energy
экспорт export
импорт import
бюрократия bureaucracy
парламент parliament
демократия democracy
авторитет authority
полиция police
революция revolution
анархия anarchy
армия army
стратегия strategy
глобализация globalization
реформа reform
революция revolution
обучение education
робот robot
дизайн design
компьютер computer
генератор generator
микроб microbe
бактерия bacterium
вирус virus
эпидемия epidemic
вакцина vaccine
загадка riddle
шедевр masterpiece
реликвия relic
миф myth
легенда legend
экспедиция expedition
конференция conference
экспозиция exposition
этюд etude
коллекция collection
перформанс performance
рецензия review
симфония symphony
революция revolution
авангард avant-garde
косметология cosmetology
защита protection
пенсия pension
портфель portfolio
климат climate
удача luck
хобби hobby
проблема problem
вино wine
ресурс resource
магнит magnet
пауза pause
режим mode
реставрация restoration
ценность value
корень root
марафон marathon
блок block
реакция reaction
коммунизм communism
капитализм capitalism
эксплорер explorer
интроверт introvert
экстраверт extrovert
протокол protocol
парламент parliament
функция function
революция revolution
бриллиант diamond
конфликт conflict
фактор factor
школьник schoolboy
инженер engineer
программист programmer
калькулятор calculator
пианист pianist
университет university
карьера career
гармония harmony
революция revolution
театр theatre
арена arena
эксплорация exploration
депрессия depression
фонтан fountain
физиология physiology
герметик sealant
катализатор catalyst
эффект effect
модель model
гигант giant
контракт contract
транзит transit
позитив positive
негатив negative
хаос chaos
электрон electron
грань edge
лаборатория laboratory
модерн modern
гардероб wardrobe
резерв reserve
диагноз diagnosis
экзамен exam
звук sound
код code
рубеж frontier
компонент component
хроника chronicle
легион legion
сектор sector
энергия energy
революция revolution
схема scheme
доминанта dominant
локомотив locomotive
нота note
холод cold
поток stream
план plan
гарантия guarantee
резонанс resonance
благосостояние prosperity
революция revolution
